Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint
1080,30,21.93,42.7666666666667,21.04,38.08,20.7,40.6333333333333,20.89,39.7333333333333,18.89,51.881666666666696,0.466666666666667,96.09,19.79,37.18428571428569,20.926666666666698,42.6633333333333,17.79,40.6725,2.0833333333333295,765.033333333333,85.5,3.6666666666666705,40.0,-0.0833333333333333
1070,30,19.6,34.3,18.426666666666698,33.96333333333331,18.39,36.93,17.7,35.4,17.856666666666698,37.6083333333333,-1.6,90.93333333333328,17.29,28.225,19.356666666666698,37.4294444444444,16.0,36.93,-0.616666666666667,764.533333333333,82.8333333333333,1.0,64.1666666666667,-3.2166666666666694
910,0,21.463333333333296,41.6933333333333,20.856666666666698,38.363333333333294,21.6666666666667,43.93,18.7,42.66,17.1,53.0,4.96666666666667,74.1666666666667,17.6,38.53,18.2,45.59,17.0,43.4666666666667,4.6,747.9,76.0,7.0,40.0,0.7
900,0,23.0,43.1666666666667,22.2,40.42666666666669,26.1,38.93,21.6,41.52666666666669,20.89,45.8333333333333,16.83,12.73,21.79,36.4666666666667,24.6666666666667,42.52666666666669,20.7,43.3333333333333,14.766666666666698,749.266666666667,59.6666666666667,7.0,40.0,7.0
890,20,19.73,37.863333333333294,18.566666666666695,34.09,18.39,36.863333333333294,17.6,35.1333333333333,17.8677777777778,37.728333333333296,-1.73,91.23,17.235,28.153888888888897,19.39,37.228888888888896,16.0,36.73,-0.8,764.5,84.0,1.0,64.0,-3.2
880,10,23.2,40.53,20.856666666666698,41.03,25.6333333333333,38.26,20.5,38.7666666666667,19.7,46.8,8.06,48.73,21.856666666666698,36.06,23.29,39.6566666666667,19.73,39.863333333333294,8.099999999999998,758.1,74.0,2.0,40.0,3.6
870,0,22.89,37.59,22.2675,35.74,27.1633333333333,38.06666666666669,22.832857142857105,34.5771428571429,20.79,42.1633333333333,14.19,3.3633333333333306,21.83,30.6,23.463333333333296,38.6633333333333,20.6,37.6633333333333,13.033333333333301,757.35,57.0,5.16666666666667,40.0,4.633333333333329
860,0,20.0,32.73,19.3266666666667,33.2666666666667,20.033333333333296,34.6966666666667,20.0,32.1,18.1666666666667,46.4666666666667,2.63333333333333,56.2666666666667,20.39,28.6666666666667,21.79,35.863333333333294,19.39,37.6566666666667,2.4,768.783333333333,80.0,6.6666666666666705,65.0,-0.766666666666667
850,20,17.6,44.1666666666667,16.926666666666698,43.23,18.23,43.29,17.5233333333333,45.7666666666667,15.39,51.0,6.09,99.9,15.6,40.715,18.0944444444444,52.8216666666667,15.5,48.8633333333333,6.35,767.4,95.5,6.0,52.0,5.65
850,0,24.356666666666698,43.6266666666667,25.39,36.7957142857143,26.0,37.3333333333333,24.6666666666667,40.56,22.0,47.7,24.55,1.0,24.2,37.4,23.7,44.3333333333333,22.6,43.4333333333333,20.866666666666696,756.2,46.0,1.66666666666667,40.0,8.699999999999998
840,0,21.39,37.7,20.1333333333333,38.4666666666667,22.7,36.59,19.823333333333295,39.3266666666667,19.2,42.59,12.1,20.596666666666696,19.2,33.7,21.426666666666698,42.863333333333294,19.5,41.5,7.1,758.7999999999998,83.0,1.0,40.0,4.3
830,10,17.6,38.09,16.96,38.03,17.79,37.39,16.2,36.53,16.0388888888889,51.398333333333305,0.8,96.4,16.1,31.356666666666698,20.2,40.8694444444444,15.5,35.70000000000001,-0.15,760.7,92.5,2.0,48.5,-1.21666666666667
820,0,22.5,47.866666666666696,21.23,45.6566666666667,25.033333333333296,39.79,21.937142857142895,38.59,20.89,46.9333333333333,9.93333333333333,45.2333333333333,21.39,33.59,23.963333333333296,41.1333333333333,21.1,43.5,9.35,747.9,77.5,4.0,40.0,5.5
820,0,23.6,44.26,27.4085714285714,35.7714285714286,24.89,40.1933333333333,24.2,42.695,21.39,50.1633333333333,18.323333333333295,12.3,23.1142857142857,39.79,23.5,44.9333333333333,22.5,44.1633333333333,13.5,757.2999999999998,88.1666666666667,1.0,52.8333333333333,11.483333333333302
800,10,21.5,36.76,20.1,36.0772727272727,20.79,37.26,21.0,36.8266666666667,18.03,46.027,-0.833333333333333,94.9266666666667,21.412,31.1,22.5,38.858,18.1,37.26,0.0,764.85,78.0,2.0,40.0,-3.5
800,10,17.79,45.49,17.1333333333333,43.5666666666667,18.5966666666667,45.6933333333333,18.4933333333333,44.9,15.37,51.045,6.19,99.9,15.6,40.9611111111111,18.0,52.535,15.5,48.59,6.51666666666667,767.466666666667,95.1666666666667,5.3333333333333295,44.0,5.75
800,0,22.1,41.7,21.2,41.79,23.2,38.26,21.7,40.09,20.79,47.26,10.33,49.53,21.1,36.0,22.6333333333333,43.36,21.1,44.79,10.4333333333333,746.1333333333331,78.3333333333333,5.66666666666667,27.3333333333333,6.76666666666667
790,10,22.1666666666667,40.5,21.7,38.6266666666667,22.1666666666667,42.1333333333333,18.79,44.6266666666667,17.1,53.9,4.2975,71.745,17.7,38.43,18.823333333333295,45.4,16.89,42.3266666666667,4.0833333333333295,748.4333333333329,76.8333333333333,6.8333333333333295,40.0,0.35
790,10,21.566666666666695,38.6266666666667,20.1,37.040909090909096,20.79,37.26,21.066666666666695,36.9666666666667,18.0,46.1175,-1.03333333333333,95.26,21.365,31.2475,22.5,39.45,18.1,37.29,-0.266666666666667,764.833333333333,79.6666666666667,2.0,40.0,-3.4666666666666694
